Source	Target	Type	Weight
BERTRAM	COUNTESS	Undirected	3
BERTRAM	DIANA	Undirected	14
BERTRAM	DUKE	Undirected	1
BERTRAM	HELENA	Undirected	10
BERTRAM	KING	Undirected	19
BERTRAM	LAFEU	Undirected	11
BERTRAM	PAROLLES	Undirected	33
BOTH	BERTRAM	Undirected	1
COUNTESS	BERTRAM	Undirected	3
COUNTESS	DIANA	Undirected	1
COUNTESS	HELENA	Undirected	20
COUNTESS	KING	Undirected	4
COUNTESS	LAFEU	Undirected	13
DIANA	BERTRAM	Undirected	13
DIANA	COUNTESS	Undirected	1
DIANA	HELENA	Undirected	10
DIANA	KING	Undirected	15
DIANA	LAFEU	Undirected	3
DIANA	MARIANA	Undirected	1
DIANA	PAROLLES	Undirected	1
DUKE	BERTRAM	Undirected	2
DUKE	COUNTESS	Undirected	1
HELENA	BERTRAM	Undirected	9
HELENA	BOTH	Undirected	1
HELENA	COUNTESS	Undirected	18
HELENA	DIANA	Undirected	9
HELENA	DUKE	Undirected	1
HELENA	KING	Undirected	14
HELENA	LAFEU	Undirected	9
HELENA	MARIANA	Undirected	1
HELENA	PAROLLES	Undirected	25
KING	BERTRAM	Undirected	19
KING	COUNTESS	Undirected	4
KING	DIANA	Undirected	18
KING	HELENA	Undirected	15
KING	LAFEU	Undirected	12
KING	PAROLLES	Undirected	7
LAFEU	BERTRAM	Undirected	11
LAFEU	COUNTESS	Undirected	13
LAFEU	DIANA	Undirected	1
LAFEU	HELENA	Undirected	6
LAFEU	KING	Undirected	17
LAFEU	PAROLLES	Undirected	37
MARIANA	DIANA	Undirected	1
MARIANA	HELENA	Undirected	2
PAROLLES	BERTRAM	Undirected	33
PAROLLES	DUKE	Undirected	1
PAROLLES	HELENA	Undirected	24
PAROLLES	KING	Undirected	7
PAROLLES	LAFEU	Undirected	37
PAROLLES	MARIANA	Undirected	1
