Source	Target	Type	Weight
AGRIPPA	DOMITIUS ENOBARBUS	Undirected	14
AGRIPPA	LEPIDUS	Undirected	2
AGRIPPA	MARK ANTONY	Undirected	2
AGRIPPA	MECAENAS	Undirected	4
AGRIPPA	OCTAVIUS CAESAR	Undirected	6
AGRIPPA	SCARUS	Undirected	1
ALEXAS	CHARMIAN	Undirected	4
ALEXAS	CLEOPATRA	Undirected	8
ALEXAS	DOMITIUS ENOBARBUS	Undirected	3
CANIDIUS	DOMITIUS ENOBARBUS	Undirected	3
CANIDIUS	MARK ANTONY	Undirected	1
CANIDIUS	OCTAVIUS CAESAR	Undirected	1
CANIDIUS	SCARUS	Undirected	1
CHARMIAN	ALEXAS	Undirected	7
CHARMIAN	CLEOPATRA	Undirected	35
CHARMIAN	DOLABELLA	Undirected	2
CHARMIAN	IRAS	Undirected	9
CHARMIAN	MARK ANTONY	Undirected	1
CLEOPATRA	ALEXAS	Undirected	8
CLEOPATRA	CANIDIUS	Undirected	1
CLEOPATRA	CHARMIAN	Undirected	33
CLEOPATRA	DIOMEDES	Undirected	1
CLEOPATRA	DOLABELLA	Undirected	13
CLEOPATRA	DOMITIUS ENOBARBUS	Undirected	13
CLEOPATRA	EROS	Undirected	2
CLEOPATRA	IRAS	Undirected	4
CLEOPATRA	MARDIAN	Undirected	4
CLEOPATRA	MARK ANTONY	Undirected	58
CLEOPATRA	OCTAVIUS CAESAR	Undirected	8
CLEOPATRA	POMPEY	Undirected	2
CLEOPATRA	PROCULEIUS	Undirected	8
CLEOPATRA	SELEUCUS	Undirected	3
CLEOPATRA	THYREUS	Undirected	6
DEMETRIUS	CHARMIAN	Undirected	1
DEMETRIUS	PHILO	Undirected	1
DERCETAS	DIOMEDES	Undirected	2
DERCETAS	OCTAVIUS CAESAR	Undirected	3
DIOMEDES	CLEOPATRA	Undirected	1
DIOMEDES	DERCETAS	Undirected	1
DIOMEDES	MARK ANTONY	Undirected	5
DOLABELLA	CHARMIAN	Undirected	1
DOLABELLA	CLEOPATRA	Undirected	12
DOLABELLA	OCTAVIUS CAESAR	Undirected	7
DOLABELLA	PROCULEIUS	Undirected	1
DOMITIUS ENOBARBUS	AGRIPPA	Undirected	15
DOMITIUS ENOBARBUS	CANIDIUS	Undirected	3
DOMITIUS ENOBARBUS	CHARMIAN	Undirected	2
DOMITIUS ENOBARBUS	CLEOPATRA	Undirected	11
DOMITIUS ENOBARBUS	EROS	Undirected	6
DOMITIUS ENOBARBUS	IRAS	Undirected	1
DOMITIUS ENOBARBUS	LEPIDUS	Undirected	4
DOMITIUS ENOBARBUS	MARK ANTONY	Undirected	27
DOMITIUS ENOBARBUS	MECAENAS	Undirected	4
DOMITIUS ENOBARBUS	MENAS	Undirected	21
DOMITIUS ENOBARBUS	OCTAVIUS CAESAR	Undirected	4
DOMITIUS ENOBARBUS	POMPEY	Undirected	5
DOMITIUS ENOBARBUS	SCARUS	Undirected	4
DOMITIUS ENOBARBUS	THYREUS	Undirected	2
EROS	CLEOPATRA	Undirected	1
EROS	DOMITIUS ENOBARBUS	Undirected	5
EROS	IRAS	Undirected	2
EROS	MARK ANTONY	Undirected	17
EROS	OCTAVIUS CAESAR	Undirected	1
EROS	SCARUS	Undirected	1
EUPHRONIUS	MARK ANTONY	Undirected	2
EUPHRONIUS	OCTAVIUS CAESAR	Undirected	3
GALLUS	IRAS	Undirected	1
IRAS	CHARMIAN	Undirected	11
IRAS	CLEOPATRA	Undirected	5
IRAS	EROS	Undirected	1
LEPIDUS	AGRIPPA	Undirected	1
LEPIDUS	CLEOPATRA	Undirected	1
LEPIDUS	DOMITIUS ENOBARBUS	Undirected	6
LEPIDUS	MARK ANTONY	Undirected	9
LEPIDUS	MECAENAS	Undirected	4
LEPIDUS	MENAS	Undirected	1
LEPIDUS	OCTAVIUS CAESAR	Undirected	7
LEPIDUS	POMPEY	Undirected	3
MARDIAN	CLEOPATRA	Undirected	4
MARDIAN	MARK ANTONY	Undirected	3
MARK ANTONY	AGRIPPA	Undirected	1
MARK ANTONY	CANIDIUS	Undirected	1
MARK ANTONY	CHARMIAN	Undirected	2
MARK ANTONY	CLEOPATRA	Undirected	56
MARK ANTONY	DEMETRIUS	Undirected	1
MARK ANTONY	DERCETAS	Undirected	1
MARK ANTONY	DIOMEDES	Undirected	4
MARK ANTONY	DOMITIUS ENOBARBUS	Undirected	28
MARK ANTONY	EROS	Undirected	17
MARK ANTONY	EUPHRONIUS	Undirected	2
MARK ANTONY	LEPIDUS	Undirected	10
MARK ANTONY	MARDIAN	Undirected	3
MARK ANTONY	MENAS	Undirected	1
MARK ANTONY	OCTAVIA	Undirected	4
MARK ANTONY	OCTAVIUS CAESAR	Undirected	31
MARK ANTONY	POMPEY	Undirected	8
MARK ANTONY	SCARUS	Undirected	5
MARK ANTONY	THYREUS	Undirected	2
MECAENAS	AGRIPPA	Undirected	4
MECAENAS	DOMITIUS ENOBARBUS	Undirected	5
MECAENAS	LEPIDUS	Undirected	2
MECAENAS	OCTAVIA	Undirected	1
MECAENAS	OCTAVIUS CAESAR	Undirected	4
MENAS	DOMITIUS ENOBARBUS	Undirected	18
MENAS	MARK ANTONY	Undirected	1
MENAS	POMPEY	Undirected	15
MENAS	VENTIDIUS	Undirected	1
MENECRATES	POMPEY	Undirected	2
OCTAVIA	MARK ANTONY	Undirected	5
OCTAVIA	OCTAVIUS CAESAR	Undirected	8
OCTAVIUS CAESAR	AGRIPPA	Undirected	7
OCTAVIUS CAESAR	CLEOPATRA	Undirected	12
OCTAVIUS CAESAR	DERCETAS	Undirected	3
OCTAVIUS CAESAR	DOLABELLA	Undirected	5
OCTAVIUS CAESAR	DOMITIUS ENOBARBUS	Undirected	2
OCTAVIUS CAESAR	EUPHRONIUS	Undirected	3
OCTAVIUS CAESAR	LEPIDUS	Undirected	9
OCTAVIUS CAESAR	MARK ANTONY	Undirected	29
OCTAVIUS CAESAR	MECAENAS	Undirected	4
OCTAVIUS CAESAR	OCTAVIA	Undirected	8
OCTAVIUS CAESAR	POMPEY	Undirected	5
OCTAVIUS CAESAR	PROCULEIUS	Undirected	1
