Source	Target	Type	Weight
ADAM	DUKE SENIOR	Undirected	1
ADAM	OLIVER	Undirected	2
ADAM	ORLANDO	Undirected	6
AMIENS	DUKE SENIOR	Undirected	2
AMIENS	JAQUES	Undirected	8
AUDREY	TOUCHSTONE	Undirected	10
AUDREY	WILLIAM	Undirected	2
CELIA	CHARLES	Undirected	1
CELIA	CORIN	Undirected	3
CELIA	DUKE FREDERICK	Undirected	8
CELIA	OLIVER	Undirected	9
CELIA	ORLANDO	Undirected	3
CELIA	ROSALIND	Undirected	70
CELIA	SILVIUS	Undirected	1
CELIA	TOUCHSTONE	Undirected	9
CHARLES	OLIVER	Undirected	6
CHARLES	ORLANDO	Undirected	2
CORIN	CELIA	Undirected	1
CORIN	ROSALIND	Undirected	6
CORIN	SILVIUS	Undirected	3
CORIN	TOUCHSTONE	Undirected	13
DENNIS	OLIVER	Undirected	2
DUKE FREDERICK	CELIA	Undirected	5
DUKE FREDERICK	CHARLES	Undirected	1
DUKE FREDERICK	OLIVER	Undirected	1
DUKE FREDERICK	ORLANDO	Undirected	3
DUKE FREDERICK	ROSALIND	Undirected	6
DUKE SENIOR	AMIENS	Undirected	2
DUKE SENIOR	HYMEN	Undirected	1
DUKE SENIOR	JAQUES	Undirected	8
DUKE SENIOR	ORLANDO	Undirected	9
DUKE SENIOR	PHEBE	Undirected	1
DUKE SENIOR	ROSALIND	Undirected	2
DUKE SENIOR	TOUCHSTONE	Undirected	2
HYMEN	DUKE SENIOR	Undirected	1
HYMEN	ROSALIND	Undirected	1
JAQUES	AMIENS	Undirected	8
JAQUES	AUDREY	Undirected	2
JAQUES	DUKE SENIOR	Undirected	12
JAQUES	ORLANDO	Undirected	14
JAQUES	ROSALIND	Undirected	6
JAQUES	TOUCHSTONE	Undirected	11
OLIVER	ADAM	Undirected	1
OLIVER	CELIA	Undirected	7
OLIVER	CHARLES	Undirected	6
OLIVER	DENNIS	Undirected	2
OLIVER	DUKE FREDERICK	Undirected	1
OLIVER	ORLANDO	Undirected	10
OLIVER	ROSALIND	Undirected	9
ORLANDO	ADAM	Undirected	8
ORLANDO	CELIA	Undirected	2
ORLANDO	CORIN	Undirected	1
ORLANDO	DUKE FREDERICK	Undirected	3
ORLANDO	DUKE SENIOR	Undirected	4
ORLANDO	JAQUES	Undirected	16
ORLANDO	OLIVER	Undirected	10
ORLANDO	PHEBE	Undirected	1
ORLANDO	ROSALIND	Undirected	70
PHEBE	JAQUES	Undirected	1
PHEBE	ORLANDO	Undirected	4
PHEBE	ROSALIND	Undirected	7
PHEBE	SILVIUS	Undirected	10
ROSALIND	CELIA	Undirected	78
ROSALIND	CORIN	Undirected	5
ROSALIND	DUKE FREDERICK	Undirected	4
ROSALIND	DUKE SENIOR	Undirected	3
ROSALIND	HYMEN	Undirected	1
ROSALIND	JAQUES	Undirected	5
ROSALIND	OLIVER	Undirected	7
ROSALIND	ORLANDO	Undirected	62
ROSALIND	PHEBE	Undirected	8
ROSALIND	SILVIUS	Undirected	9
ROSALIND	TOUCHSTONE	Undirected	13
SILVIUS	CELIA	Undirected	1
SILVIUS	CORIN	Undirected	2
SILVIUS	ORLANDO	Undirected	1
SILVIUS	PHEBE	Undirected	13
SILVIUS	ROSALIND	Undirected	7
SIR OLIVER	JAQUES	Undirected	1
SIR OLIVER	TOUCHSTONE	Undirected	1
TOUCHSTONE	AUDREY	Undirected	9
TOUCHSTONE	CELIA	Undirected	10
TOUCHSTONE	CORIN	Undirected	12
TOUCHSTONE	DUKE SENIOR	Undirected	1
TOUCHSTONE	JAQUES	Undirected	13
TOUCHSTONE	ROSALIND	Undirected	12
TOUCHSTONE	SIR OLIVER	Undirected	3
TOUCHSTONE	WILLIAM	Undirected	9
WILLIAM	AUDREY	Undirected	1
WILLIAM	CORIN	Undirected	1
WILLIAM	TOUCHSTONE	Undirected	9
