Source	Target	Type	Weight
ANGUS	CAITHNESS	Undirected	1
ANGUS	MACBETH	Undirected	1
ANGUS	MENTEITH	Undirected	1
ANGUS	ROSS	Undirected	1
ATTENDANT	MACBETH	Undirected	1
BANQUO	DUNCAN	Undirected	2
BANQUO	FLEANCE	Undirected	2
BANQUO	MACBETH	Undirected	25
BANQUO	MACDUFF	Undirected	1
BANQUO	ROSS	Undirected	1
CAITHNESS	ANGUS	Undirected	1
CAITHNESS	LENNOX	Undirected	2
DONALBAIN	MACBETH	Undirected	1
DONALBAIN	MALCOLM	Undirected	2
DUNCAN	BANQUO	Undirected	2
DUNCAN	LADY MACBETH	Undirected	3
DUNCAN	MACBETH	Undirected	5
DUNCAN	MALCOLM	Undirected	3
DUNCAN	ROSS	Undirected	3
FLEANCE	BANQUO	Undirected	2
HECATE	LENNOX	Undirected	1
HECATE	MACBETH	Undirected	1
LADY MACBETH	BANQUO	Undirected	1
LADY MACBETH	DUNCAN	Undirected	3
LADY MACBETH	LENNOX	Undirected	1
LADY MACBETH	MACBETH	Undirected	42
LADY MACBETH	MACDUFF	Undirected	2
LADY MACBETH	MENTEITH	Undirected	1
LADY MACDUFF	MALCOLM	Undirected	1
LADY MACDUFF	ROSS	Undirected	4
LENNOX	HECATE	Undirected	1
LENNOX	LADY MACBETH	Undirected	1
LENNOX	MACBETH	Undirected	13
LENNOX	MACDUFF	Undirected	3
LENNOX	MENTEITH	Undirected	1
LENNOX	ROSS	Undirected	1
MACBETH	ANGUS	Undirected	1
MACBETH	ATTENDANT	Undirected	1
MACBETH	BANQUO	Undirected	23
MACBETH	DONALBAIN	Undirected	1
MACBETH	DUNCAN	Undirected	4
MACBETH	HECATE	Undirected	1
MACBETH	LADY MACBETH	Undirected	41
MACBETH	LADY MACDUFF	Undirected	1
MACBETH	LENNOX	Undirected	12
MACBETH	MACDUFF	Undirected	12
MACBETH	MALCOLM	Undirected	4
MACBETH	ROSS	Undirected	3
MACBETH	SEYTON	Undirected	5
MACBETH	YOUNG SIWARD	Undirected	4
MACDUFF	LADY MACBETH	Undirected	2
MACDUFF	LENNOX	Undirected	2
MACDUFF	MACBETH	Undirected	12
MACDUFF	MALCOLM	Undirected	21
MACDUFF	ROSS	Undirected	17
MACDUFF	SIWARD	Undirected	2
MALCOLM	BANQUO	Undirected	1
MALCOLM	DONALBAIN	Undirected	2
MALCOLM	DUNCAN	Undirected	2
MALCOLM	LADY MACBETH	Undirected	1
MALCOLM	LENNOX	Undirected	2
MALCOLM	MACDUFF	Undirected	19
MALCOLM	MENTEITH	Undirected	1
MALCOLM	ROSS	Undirected	5
MALCOLM	SIWARD	Undirected	5
MENTEITH	ANGUS	Undirected	1
MENTEITH	CAITHNESS	Undirected	2
MENTEITH	MALCOLM	Undirected	1
MENTEITH	SIWARD	Undirected	1
ROSS	ANGUS	Undirected	1
ROSS	BANQUO	Undirected	2
ROSS	DUNCAN	Undirected	4
ROSS	LADY MACBETH	Undirected	2
ROSS	LADY MACDUFF	Undirected	4
ROSS	MACBETH	Undirected	1
ROSS	MACDUFF	Undirected	17
ROSS	MALCOLM	Undirected	3
ROSS	SIWARD	Undirected	3
SEYTON	MACBETH	Undirected	5
SIWARD	MACBETH	Undirected	2
SIWARD	MACDUFF	Undirected	2
SIWARD	MALCOLM	Undirected	4
SIWARD	MENTEITH	Undirected	1
SIWARD	ROSS	Undirected	2
YOUNG SIWARD	MACBETH	Undirected	4
