Source	Target	Type	Weight
ABRAHAM	SAMPSON	Undirected	5
BALTHASAR	FRIAR LAURENCE	Undirected	6
BALTHASAR	PRINCE	Undirected	1
BALTHASAR	ROMEO	Undirected	5
BENVOLIO	CAPULET	Undirected	2
BENVOLIO	LADY CAPULET	Undirected	2
BENVOLIO	LADY MONTAGUE	Undirected	1
BENVOLIO	MERCUTIO	Undirected	21
BENVOLIO	MONTAGUE	Undirected	4
BENVOLIO	PETER	Undirected	1
BENVOLIO	PRINCE	Undirected	1
BENVOLIO	ROMEO	Undirected	29
BENVOLIO	TYBALT	Undirected	2
CAPULET	BENVOLIO	Undirected	1
CAPULET	FRIAR LAURENCE	Undirected	3
CAPULET	JULIET	Undirected	8
CAPULET	LADY CAPULET	Undirected	11
CAPULET	MONTAGUE	Undirected	2
CAPULET	PARIS	Undirected	6
CAPULET	PRINCE	Undirected	1
CAPULET	ROMEO	Undirected	1
CAPULET	TYBALT	Undirected	5
FRIAR JOHN	FRIAR LAURENCE	Undirected	4
FRIAR LAURENCE	BALTHASAR	Undirected	6
FRIAR LAURENCE	BENVOLIO	Undirected	1
FRIAR LAURENCE	CAPULET	Undirected	2
FRIAR LAURENCE	FRIAR JOHN	Undirected	3
FRIAR LAURENCE	JULIET	Undirected	8
FRIAR LAURENCE	MERCUTIO	Undirected	1
FRIAR LAURENCE	PARIS	Undirected	6
FRIAR LAURENCE	PETER	Undirected	1
FRIAR LAURENCE	PRINCE	Undirected	2
FRIAR LAURENCE	ROMEO	Undirected	23
GREGORY	ABRAHAM	Undirected	1
GREGORY	SAMPSON	Undirected	14
JULIET	CAPULET	Undirected	5
JULIET	FRIAR LAURENCE	Undirected	12
JULIET	LADY CAPULET	Undirected	21
JULIET	PAGE	Undirected	1
JULIET	PARIS	Undirected	6
JULIET	ROMEO	Undirected	39
LADY CAPULET	CAPULET	Undirected	12
LADY CAPULET	JULIET	Undirected	19
LADY CAPULET	PARIS	Undirected	1
LADY CAPULET	PRINCE	Undirected	4
LADY CAPULET	ROMEO	Undirected	1
LADY MONTAGUE	BENVOLIO	Undirected	1
LADY MONTAGUE	PRINCE	Undirected	1
MERCUTIO	BENVOLIO	Undirected	23
MERCUTIO	ROMEO	Undirected	30
MERCUTIO	TYBALT	Undirected	7
MONTAGUE	BENVOLIO	Undirected	5
MONTAGUE	CAPULET	Undirected	1
MONTAGUE	LADY MONTAGUE	Undirected	1
MONTAGUE	PRINCE	Undirected	3
NURSE	ROMEO	Undirected	1
PAGE	PARIS	Undirected	2
PAGE	PRINCE	Undirected	2
PARIS	CAPULET	Undirected	5
PARIS	FRIAR LAURENCE	Undirected	2
PARIS	JULIET	Undirected	9
PARIS	LADY CAPULET	Undirected	2
PARIS	PAGE	Undirected	1
PARIS	ROMEO	Undirected	4
PETER	JULIET	Undirected	1
PETER	MERCUTIO	Undirected	1
PETER	ROMEO	Undirected	2
PRINCE	BALTHASAR	Undirected	1
PRINCE	BENVOLIO	Undirected	2
PRINCE	CAPULET	Undirected	3
PRINCE	FRIAR LAURENCE	Undirected	2
PRINCE	JULIET	Undirected	1
PRINCE	MONTAGUE	Undirected	4
PRINCE	PAGE	Undirected	1
ROMEO	BALTHASAR	Undirected	5
ROMEO	BENVOLIO	Undirected	28
ROMEO	CAPULET	Undirected	2
ROMEO	FRIAR JOHN	Undirected	1
ROMEO	FRIAR LAURENCE	Undirected	24
ROMEO	JULIET	Undirected	38
ROMEO	LADY CAPULET	Undirected	1
ROMEO	MERCUTIO	Undirected	32
ROMEO	NURSE	Undirected	1
ROMEO	PAGE	Undirected	1
ROMEO	PARIS	Undirected	2
ROMEO	PETER	Undirected	2
ROMEO	TYBALT	Undirected	3
SAMPSON	ABRAHAM	Undirected	4
SAMPSON	BENVOLIO	Undirected	1
SAMPSON	GREGORY	Undirected	15
TYBALT	BENVOLIO	Undirected	1
TYBALT	CAPULET	Undirected	6
TYBALT	MERCUTIO	Undirected	5
TYBALT	ROMEO	Undirected	5
