Source	Target	Type	Weight
ABRAHAM	SAMPSON	Undirected	5
ADAM	DUKE SENIOR	Undirected	1
ADAM	OLIVER	Undirected	2
ADAM	ORLANDO	Undirected	6
ADAM	ROSALIND	Undirected	1
AGRIPPA	DOMITIUS ENOBARBUS	Undirected	14
AGRIPPA	LEPIDUS	Undirected	2
AGRIPPA	MARK ANTONY	Undirected	2
AGRIPPA	MECAENAS	Undirected	4
AGRIPPA	OCTAVIUS CAESAR	Undirected	6
AGRIPPA	SCARUS	Undirected	1
ALEXAS	CHARMIAN	Undirected	4
ALEXAS	CLEOPATRA	Undirected	8
ALEXAS	DOMITIUS ENOBARBUS	Undirected	3
AMIENS	ADAM	Undirected	1
AMIENS	DUKE SENIOR	Undirected	2
AMIENS	JAQUES	Undirected	8
ANGUS	CAITHNESS	Undirected	1
ANGUS	MACBETH	Undirected	1
ANGUS	MENTEITH	Undirected	1
ANGUS	ROSS	Undirected	1
ATTENDANT	MACBETH	Undirected	1
AUDREY	TOUCHSTONE	Undirected	10
AUDREY	WILLIAM	Undirected	2
BALTHASAR	FRIAR LAURENCE	Undirected	6
BALTHASAR	PRINCE	Undirected	1
BALTHASAR	ROMEO	Undirected	5
BANQUO	DUNCAN	Undirected	2
BANQUO	FLEANCE	Undirected	2
BANQUO	MACBETH	Undirected	25
BANQUO	MACDUFF	Undirected	1
BANQUO	ROSS	Undirected	1
BENVOLIO	CAPULET	Undirected	2
BENVOLIO	LADY CAPULET	Undirected	2
BENVOLIO	LADY MONTAGUE	Undirected	1
BENVOLIO	MERCUTIO	Undirected	21
BENVOLIO	MONTAGUE	Undirected	4
BENVOLIO	PETER	Undirected	1
BENVOLIO	PRINCE	Undirected	1
BENVOLIO	ROMEO	Undirected	29
BENVOLIO	TYBALT	Undirected	2
BERTRAM	COUNTESS	Undirected	3
BERTRAM	DIANA	Undirected	14
BERTRAM	DUKE	Undirected	1
BERTRAM	HELENA	Undirected	10
BERTRAM	KING	Undirected	19
BERTRAM	LAFEU	Undirected	11
BERTRAM	PAROLLES	Undirected	33
BOTH	BERTRAM	Undirected	1
CAITHNESS	ANGUS	Undirected	1
CAITHNESS	LENNOX	Undirected	2
CANIDIUS	DOMITIUS ENOBARBUS	Undirected	3
CANIDIUS	MARK ANTONY	Undirected	1
CANIDIUS	OCTAVIUS CAESAR	Undirected	1
CANIDIUS	SCARUS	Undirected	1
CAPULET	BENVOLIO	Undirected	1
CAPULET	FRIAR LAURENCE	Undirected	3
CAPULET	JULIET	Undirected	8
CAPULET	LADY CAPULET	Undirected	11
CAPULET	MONTAGUE	Undirected	2
CAPULET	PARIS	Undirected	6
CAPULET	PRINCE	Undirected	1
CAPULET	ROMEO	Undirected	1
CAPULET	TYBALT	Undirected	5
CELIA	CHARLES	Undirected	1
CELIA	CORIN	Undirected	3
CELIA	DUKE FREDERICK	Undirected	8
CELIA	DUKE SENIOR	Undirected	1
CELIA	JAQUES	Undirected	1
CELIA	OLIVER	Undirected	9
CELIA	ORLANDO	Undirected	3
CELIA	ROSALIND	Undirected	70
CELIA	SILVIUS	Undirected	1
CELIA	TOUCHSTONE	Undirected	9
CHARLES	OLIVER	Undirected	6
CHARLES	ORLANDO	Undirected	2
CHARMIAN	ALEXAS	Undirected	7
CHARMIAN	CLEOPATRA	Undirected	35
CHARMIAN	DOLABELLA	Undirected	2
CHARMIAN	IRAS	Undirected	9
CHARMIAN	MARK ANTONY	Undirected	1
CLEOPATRA	ALEXAS	Undirected	8
CLEOPATRA	CANIDIUS	Undirected	1
CLEOPATRA	CHARMIAN	Undirected	33
CLEOPATRA	DIOMEDES	Undirected	1
CLEOPATRA	DOLABELLA	Undirected	13
CLEOPATRA	DOMITIUS ENOBARBUS	Undirected	13
CLEOPATRA	EROS	Undirected	2
CLEOPATRA	IRAS	Undirected	4
CLEOPATRA	MARDIAN	Undirected	4
CLEOPATRA	MARK ANTONY	Undirected	58
CLEOPATRA	OCTAVIUS CAESAR	Undirected	8
CLEOPATRA	POMPEY	Undirected	2
CLEOPATRA	PROCULEIUS	Undirected	8
CLEOPATRA	SELEUCUS	Undirected	3
CLEOPATRA	THYREUS	Undirected	6
CORIN	AMIENS	Undirected	1
CORIN	CELIA	Undirected	1
CORIN	ROSALIND	Undirected	6
CORIN	SILVIUS	Undirected	3
CORIN	TOUCHSTONE	Undirected	13
COUNTESS	BERTRAM	Undirected	3
COUNTESS	DIANA	Undirected	1
COUNTESS	HELENA	Undirected	20
COUNTESS	KING	Undirected	4
COUNTESS	LAFEU	Undirected	13
DEMETRIUS	CHARMIAN	Undirected	1
DEMETRIUS	PHILO	Undirected	1
DENNIS	OLIVER	Undirected	2
DERCETAS	DIOMEDES	Undirected	2
DERCETAS	OCTAVIUS CAESAR	Undirected	3
DIANA	BERTRAM	Undirected	13
DIANA	COUNTESS	Undirected	1
DIANA	HELENA	Undirected	10
DIANA	KING	Undirected	15
DIANA	LAFEU	Undirected	3
DIANA	MARIANA	Undirected	1
DIANA	PAROLLES	Undirected	1
DIOMEDES	CLEOPATRA	Undirected	1
DIOMEDES	DERCETAS	Undirected	1
DIOMEDES	MARK ANTONY	Undirected	5
DOLABELLA	CHARMIAN	Undirected	1
DOLABELLA	CLEOPATRA	Undirected	12
DOLABELLA	OCTAVIUS CAESAR	Undirected	7
DOLABELLA	PROCULEIUS	Undirected	1
DOMITIUS ENOBARBUS	AGRIPPA	Undirected	15
DOMITIUS ENOBARBUS	CANIDIUS	Undirected	3
DOMITIUS ENOBARBUS	CHARMIAN	Undirected	2
DOMITIUS ENOBARBUS	CLEOPATRA	Undirected	11
DOMITIUS ENOBARBUS	EROS	Undirected	6
DOMITIUS ENOBARBUS	IRAS	Undirected	1
DOMITIUS ENOBARBUS	LEPIDUS	Undirected	4
DOMITIUS ENOBARBUS	MARK ANTONY	Undirected	27
DOMITIUS ENOBARBUS	MECAENAS	Undirected	4
DOMITIUS ENOBARBUS	MENAS	Undirected	21
DOMITIUS ENOBARBUS	OCTAVIUS CAESAR	Undirected	4
DOMITIUS ENOBARBUS	POMPEY	Undirected	5
DOMITIUS ENOBARBUS	SCARUS	Undirected	4
DOMITIUS ENOBARBUS	THYREUS	Undirected	2
DONALBAIN	MACBETH	Undirected	1
DONALBAIN	MALCOLM	Undirected	2
DUKE	BERTRAM	Undirected	2
DUKE	COUNTESS	Undirected	1
DUKE FREDERICK	CELIA	Undirected	5
DUKE FREDERICK	CHARLES	Undirected	1
DUKE FREDERICK	OLIVER	Undirected	1
DUKE FREDERICK	ORLANDO	Undirected	5
DUKE FREDERICK	ROSALIND	Undirected	6
DUKE SENIOR	AMIENS	Undirected	2
DUKE SENIOR	DUKE FREDERICK	Undirected	2
DUKE SENIOR	HYMEN	Undirected	1
DUKE SENIOR	JAQUES	Undirected	8
DUKE SENIOR	ORLANDO	Undirected	9
DUKE SENIOR	PHEBE	Undirected	1
DUKE SENIOR	ROSALIND	Undirected	2
DUKE SENIOR	TOUCHSTONE	Undirected	2
DUNCAN	BANQUO	Undirected	2
DUNCAN	LADY MACBETH	Undirected	3
DUNCAN	MACBETH	Undirected	5
DUNCAN	MALCOLM	Undirected	3
DUNCAN	ROSS	Undirected	3
EROS	CLEOPATRA	Undirected	1
EROS	DOMITIUS ENOBARBUS	Undirected	5
EROS	IRAS	Undirected	2
EROS	MARK ANTONY	Undirected	17
EROS	OCTAVIUS CAESAR	Undirected	1
EROS	SCARUS	Undirected	1
EUPHRONIUS	MARK ANTONY	Undirected	2
EUPHRONIUS	OCTAVIUS CAESAR	Undirected	3
FLEANCE	BANQUO	Undirected	2
FRIAR JOHN	FRIAR LAURENCE	Undirected	4
FRIAR LAURENCE	BALTHASAR	Undirected	6
FRIAR LAURENCE	BENVOLIO	Undirected	1
FRIAR LAURENCE	CAPULET	Undirected	2
FRIAR LAURENCE	FRIAR JOHN	Undirected	3
FRIAR LAURENCE	JULIET	Undirected	8
FRIAR LAURENCE	MERCUTIO	Undirected	1
FRIAR LAURENCE	PARIS	Undirected	6
